feature,times_selected,selection_rate
Past_Return_5_Tick,7,0.875
VWAP,6,0.75
MACD_Histogram,6,0.75
Index_Volatility,6,0.75
Volume_Surprise,6,0.75
VWAP_Dist,6,0.75
Close_Pos,6,0.75
RSI_Div,5,0.625
Past_Return_2_Tick,5,0.625
RSI,4,0.5
ATR,4,0.5
SMA_20,4,0.5
Volume,4,0.5
Index_Return,4,0.5
SMA_10,4,0.5
CO_Spread,3,0.375
MACD_Line,3,0.375
Rel_ZScore,3,0.375
BB_Mid,3,0.375
Bar_Range,2,0.25
OBV,2,0.25
Rel_Return,2,0.25
BB_High,2,0.25
EMA_10,2,0.25
EMA_20,2,0.25
BB_Low,1,0.125
Past_Return_1_Tick,1,0.125
