run,mode,resample_period,population_size,num_generations,ga_epochs,window_size,hidden_units,dropout,learning_rate,threshold_multiplier,confidence_threshold,num_selected_features,selected_features,reported_test_sharpe,reported_precision_at_conf,reported_trade_rate,m2_precision_at_0.5,complete,ga_generations_run,ga_best_fitness,ga_final_max_fitness,ga_degenerate_gens,test_rows,test_start,test_end,n_tickers,n_approved,approved_rate,approved_share_DOWN,approved_share_NEUTRAL,approved_share_UP,approved_nonzero_pnl,effective_trades,m1_directional_preds,m1_sign_accuracy,m1_exact_class_accuracy,max_conf_on_directional,mean_conf_neutral,mean_conf_directional,cf_trades,cf_mean_bps,cf_t_stat,cf_sharpe_gross,cf_sharpe_net_1bp,cf_sharpe_net_2bp,cf_sharpe_net_5bp,cf_breakeven_cost_bps
attention_bilstm_attn_v2_multi_all_stocks_20260616_163730,v2_multi_classification,30min,,,,,,,,,,,,1.0538321357090306,0.7975216273088613,0.2576350822239624,0.7278169482506319,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attention_bilstm_v2_multi_all_stocks_20260616_163501,v2_multi_classification,30min,,,,,,,,,,,,-0.3313609704981709,0.805014670578821,0.22582976929100657,0.750655737704918,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_jpm_20260524_163030,,30min,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_multi_all_stocks_20260524_163112,multi-stock,30min,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_fast_v2_multi_all_stocks_20260616_170234,fast,30min,6.0,3.0,5.0,24.0,32.0,0.3,0.0001,0.3,0.65,17.0,Volume|CO_Spread|BB_High|BB_Mid|BB_Low|ATR|SMA_20|EMA_10|MACD_Line|MACD_Histogram|RSI|RSI_Div|Bar_Range|Close_Pos|Index_Return|Index_Volatility|Rel_ZScore,2.139252101476352,0.682723185613359,0.09520606579430109,0.6067505492310765,False,4.0,27.317303334470623,27.317303334470623,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ga_features_only_jpm_20260524_163838,features_only,30min,6.0,3.0,5.0,12.0,64.0,0.2,0.001,,,6.0,BB_High|BB_Mid|ATR|SMA_10|RSI|VWAP,,,,,False,4.0,0.11184327,0.07163562,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ga_features_only_jpm_20260524_220605,features_only,30min,6.0,3.0,5.0,12.0,64.0,0.2,0.001,,,6.0,Past_Return_2_Tick|Past_Return_5_Tick|HL_Spread|BB_High|SMA_10|MACD_Histogram,,,,,False,4.0,0.13134372,0.0713241,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ga_features_only_multi_all_stocks_20260524_220723,features_only,30min,6.0,3.0,5.0,12.0,64.0,0.2,0.001,,,5.0,Past_Return_1_Tick|CO_Spread|ATR|SMA_10|EMA_10,,,,,False,4.0,0.10527263,0.05522909,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ga_full_v2_multi_15min_all_stocks_20260620_141559,full,15min,20.0,30.0,50.0,6.0,256.0,0.3,0.0001,0.3,0.6,12.0,Past_Return_2_Tick|Past_Return_5_Tick|ATR|MACD_Histogram|RSI|VWAP|RSI_Div|Volume_Surprise|Bar_Range|VWAP_Dist|Index_Volatility|Rel_Return,0.0,0.6959921798631477,0.09315808644973288,0.6026790314270994,True,31.0,4.8201448333692,4.420568114835515,31.0,32944.0,2025-12-02 19:00:00,2026-01-15 16:45:00,19.0,3069.0,0.09315808644973288,0.0,1.0,0.0,0.0,0.0,19648.0,0.49287459283387625,0.3350977198697068,0.5870894381960783,0.5519785419241728,0.3362823731607427,19648.0,0.24739081384815242,1.209630996140117,0.6985229452698002,-2.1250376162737297,-4.94859817781726,-13.41927986244785,0.24739081384815242
ga_full_v2_multi_30min_all_stocks_20260621_125311,full,30min,20.0,30.0,50.0,12.0,128.0,0.2,0.001,0.3,0.6,13.0,Volume|Past_Return_5_Tick|BB_High|ATR|SMA_10|MACD_Line|MACD_Histogram|OBV|Close_Pos|VWAP_Dist|Index_Return|Index_Volatility|Rel_ZScore,0.0,0.6843687374749499,0.12023372086018914,0.6259685372153088,True,31.0,6.393956017850679,4.168096108742942,30.0,16601.0,2025-12-03 09:00:00,2026-01-15 16:30:00,19.0,1996.0,0.12023372086018914,0.0,1.0,0.0,0.0,0.0,10530.0,0.4985754985754986,0.3271604938271605,0.59694926345763,0.5543978179506465,0.32976286063861143,10530.0,0.5229072226191264,1.4553373199913333,0.8117483738399862,-0.7406271503956869,-2.29300267463136,-6.9501292473383804,0.5229072226191264
ga_full_v2_multi_30min_all_stocks_20260621_215451,full,30min,20.0,30.0,50.0,24.0,256.0,0.2,0.0005,0.3,0.6,15.0,Volume|Past_Return_2_Tick|Past_Return_5_Tick|CO_Spread|BB_Mid|BB_Low|SMA_20|RSI|VWAP|Volume_Surprise|Bar_Range|Close_Pos|VWAP_Dist|Index_Return|Index_Volatility,0.0,0.7180232558139535,0.12606119831429793,0.6380588631768142,True,31.0,5.360302664330202,4.778731912577995,29.0,16373.0,2025-12-03 17:30:00,2026-01-15 16:30:00,19.0,2064.0,0.12606119831429793,0.0,1.0,0.0,0.0,0.0,10656.0,0.4918355855855856,0.32310435435435436,0.59331606222546,0.5712920301923538,0.33769561738007964,10656.0,0.17493998078826947,0.49300553168815764,0.27335475501870915,-1.2892083239698007,-2.8517714029583114,-7.539460639923843,0.17493998078826947
ga_full_v2_multi_30min_all_stocks_20260622_124903,full,30min,20.0,30.0,50.0,24.0,128.0,0.1,0.0005,0.3,0.65,14.0,Volume|Past_Return_5_Tick|CO_Spread|BB_High|BB_Mid|SMA_20|EMA_20|MACD_Line|MACD_Histogram|VWAP|OBV|Volume_Surprise|Close_Pos|Index_Volatility,1.2458490830698954,0.7150872817955112,0.09796616380626641,0.6517641902257287,True,31.0,6.722909156234637,2.7113512238195114,31.0,16373.0,2025-12-03 17:30:00,2026-01-15 16:30:00,19.0,1604.0,0.09796616380626641,0.0012468827930174563,0.9987531172069826,0.0,2.0,2.0,10504.0,0.49714394516374716,0.33054074638233055,0.7009691883128323,0.5848237200687634,0.341579871727744,10504.0,0.4993301006793032,1.3121415096481261,0.7327827960999248,-0.7347489931974273,-2.202280782494779,-6.604876150386836,0.4993301006793032
ga_full_v2_multi_30min_all_stocks_20260622_233819,full,30min,20.0,30.0,50.0,12.0,64.0,0.1,0.001,0.3,0.6,8.0,Past_Return_5_Tick|ATR|SMA_20|VWAP|RSI_Div|Volume_Surprise|Close_Pos|Index_Volatility,-0.4658542690299806,0.6565137614678899,0.16414673814830433,0.6122638014079289,True,31.0,6.464078954789834,4.853003234993295,30.0,16601.0,2025-12-03 09:00:00,2026-01-15 16:30:00,19.0,2725.0,0.16414673814830433,0.0,0.9992660550458715,0.0007339449541284404,2.0,2.0,9888.0,0.49302184466019416,0.33100728155339804,0.641329006194692,0.5746874902885033,0.3397817374906231,9888.0,-0.32051807497833745,-0.8431427407139732,-0.48530953361073303,-1.9994504557522788,-3.513591377893825,-8.056014144318462,-0.32051807497833745
ga_full_v2_multi_30min_all_stocks_20260623_111437,full,30min,20.0,30.0,50.0,36.0,128.0,0.3,0.0005,0.3,0.6,14.0,Volume|Past_Return_2_Tick|Past_Return_5_Tick|BB_Mid|SMA_10|EMA_10|MACD_Histogram|VWAP|RSI_Div|VWAP_Dist|Index_Return|Index_Volatility|Rel_Return|Rel_ZScore,0.4510895822778188,0.6763893153208475,0.2017342830597708,0.6249042145593869,True,31.0,5.538376057214367,4.651978033307827,31.0,16145.0,2025-12-04 12:00:00,2026-01-15 16:30:00,19.0,3257.0,0.2017342830597708,0.0,0.9975437519189438,0.002456248081056187,8.0,8.0,10218.0,0.49686827167743197,0.33607359561558037,0.6821128256730075,0.6086293394131,0.34395663484882194,10218.0,0.7409114792011551,1.9618895616703758,1.1108708068706628,-0.38845919145571645,-1.8877891897820949,-6.3857791847612315,0.7409114792011551
ga_full_v2_multi_30min_all_stocks_20260623_205128,full,30min,20.0,30.0,50.0,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_full_v2_multi_30min_all_stocks_20260623_210817,full,30min,20.0,30.0,50.0,24.0,128.0,0.2,0.0001,0.3,0.6,17.0,Past_Return_1_Tick|Past_Return_2_Tick|Past_Return_5_Tick|CO_Spread|SMA_10|SMA_20|EMA_10|EMA_20|MACD_Line|MACD_Histogram|RSI|RSI_Div|Volume_Surprise|Close_Pos|VWAP_Dist|Index_Return|Rel_ZScore,0.0,0.6848686952897041,0.14652171257558175,0.6226138032305433,True,31.0,4.6632306023130585,2.0040713200666227,31.0,16373.0,2025-12-03 17:30:00,2026-01-15 16:30:00,19.0,2399.0,0.14652171257558175,0.0,1.0,0.0,0.0,0.0,10498.0,0.4936178319679939,0.3265383882644313,0.5919802476896856,0.5816951469496078,0.3395518665566467,10498.0,0.27574642342471717,0.781932851350351,0.43680552388184996,-1.1472785721394512,-2.7313626681607523,-7.483614956224656,0.27574642342471717
ga_full_v2_multi_all_stocks_20260616_171052,full,30min,20.0,30.0,50.0,,,,,,,,,,,,,False,10.0,23.58963778826676,18.565442684281187,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ga_full_v2_multi_all_stocks_20260618_095350,full,30min,20.0,30.0,50.0,12.0,32.0,0.2,0.0005,0.3,0.6,10.0,Past_Return_2_Tick|ATR|SMA_10|MACD_Histogram|RSI|VWAP|RSI_Div|Volume_Surprise|Close_Pos|VWAP_Dist,0.0,0.6702862783810464,0.122040840913198,0.6103896103896104,True,31.0,2.1799023811953835,1.605109989846262,22.0,16601.0,2025-12-03 09:00:00,2026-01-15 16:30:00,19.0,2026.0,0.122040840913198,0.0,1.0,0.0,0.0,0.0,10176.0,0.4942020440251572,0.32999213836477986,0.59485284507658,0.5581148918159735,0.3363919846949298,10176.0,0.2597302980523978,0.7298057210556708,0.41408610814159824,-1.180206553310093,-2.7744992147617844,-7.557377199116858,0.2597302980523978
