Datetime,Open,High,Low,Close,Volume
2025-06-30 22:10:00,209.9,209.9,209.65,209.67,369.0
2025-06-30 22:15:00,209.7,209.7,209.5387,209.5387,321.0
2025-06-30 22:20:00,209.6,209.75,209.5,209.5001,951.0
2025-06-30 22:25:00,209.19,209.5,209.02,209.49,5766.0
2025-06-30 22:30:00,209.49,209.75,209.02,209.18,115.0
2025-06-30 22:35:00,209.53,209.75,209.02,209.15,407.0
2025-06-30 22:40:00,209.75,209.75,209.02,209.02,504.0
2025-06-30 22:45:00,209.2,209.55,209.06,209.06,100.0
2025-06-30 22:50:00,209.55,209.55,209.03,209.48,125.0
2025-06-30 22:55:00,209.48,209.55,209.3692,209.3692,340.0
2025-06-30 23:00:00,209.45,209.55,209.35,209.5499,124.0
2025-06-30 23:05:00,209.53,209.54,209.53,209.54,38.0
2025-06-30 23:10:00,209.35,209.59,209.35,209.35,1220.0
2025-06-30 23:15:00,209.54,209.54,209.355,209.37,66.0
2025-06-30 23:20:00,209.55,209.55,209.35,209.55,65.0
2025-06-30 23:25:00,209.545,209.55,209.35,209.55,100.0
2025-06-30 23:30:00,209.35,209.48,209.35,209.48,1486.0
2025-06-30 23:35:00,209.47,209.48,209.35,209.4,107.0
2025-06-30 23:40:00,209.4,209.4,209.35,209.35,91.0
2025-06-30 23:45:00,209.3987,209.4,209.35,209.35,235.0
2025-06-30 23:50:00,209.34,209.35,209.25,209.35,637.0
2025-06-30 23:55:00,209.35,209.35,209.2,209.34,1481.0
2025-07-01 00:00:00,209.34,209.8,209.19,209.8,1750.0
2025-07-01 08:05:00,209.52,209.52,209.02,209.41,17.0
2025-07-01 08:10:00,209.03,209.38,209.03,209.38,9.0
2025-07-01 08:15:00,209.08,209.25,209.03,209.25,14.0
2025-07-01 08:20:00,209.05,209.25,209.05,209.25,51.0
2025-07-01 08:25:00,209.25,209.27,209.25,209.27,3.0
2025-07-01 08:30:00,209.2,209.27,208.97,209.02,494.0
2025-07-01 08:35:00,209.05,209.05,208.8,208.8,1295.0
2025-07-01 08:40:00,208.8,209.02,208.8,208.98,15.0
2025-07-01 08:45:00,208.86,209.01,208.86,209.01,20.0
2025-07-01 08:50:00,208.8,208.86,208.8,208.86,150.0
2025-07-01 08:55:00,208.85,208.97,208.85,208.96,23.0
2025-07-01 09:00:00,208.86,208.92,208.81,208.81,104.0
2025-07-01 09:05:00,208.81,208.81,208.65,208.67,139.0
2025-07-01 09:10:00,208.74,208.78,208.74,208.76,23.0
2025-07-01 09:15:00,208.74,208.74,208.74,208.74,1.0
2025-07-01 09:20:00,208.59,208.64,208.54,208.64,203.0
2025-07-01 09:25:00,208.55,208.55,208.55,208.55,20.0
2025-07-01 09:30:00,,,,,
2025-07-01 09:35:00,208.71,208.71,208.71,208.71,5.0
2025-07-01 09:40:00,208.54,208.79,208.54,208.79,12.0
2025-07-01 09:50:00,208.54,208.54,208.54,208.54,1.0
2025-07-01 09:55:00,208.54,208.54,208.54,208.54,1.0
2025-07-01 10:00:00,208.69,208.69,208.69,208.69,4.0
2025-07-01 10:05:00,,,,,
