source,run,mode,lr,window,model,rmse,mae,r2,da,m2_prec,trade_rate,prec_at_conf,sharpe
local,baseline_jpm_20260521_094956,,0.001,12,,0.00131206,0.00075558,-0.118199,47.0314,,,,
local,baseline_jpm_20260524_171523,,0.001,12,,1.31883e-06,7.80772e-07,-0.129761,46.915,,,,
local,baseline_jpm_20260524_172718,,0.001,12,,0.00124042,0.000662015,0.000574463,47.9239,,,,
local,baseline_jpm_20260524_173839,,0.0001,12,,0.00124183,0.000669977,-0.00169714,47.6135,,,,
local,baseline_jpm_20260524_183332,,0.0001,12,,0.00124094,0.000661483,-0.000259358,46.2941,,,,
local,baseline_jpm_20260524_184055,,0.0001,12,,0.0012409,0.000661612,-0.000187884,47.8463,,,,
local,baseline_jpm_20260524_184722,,1e-05,12,,0.00124097,0.000661561,-0.000305087,46.4882,,,,
local,baseline_jpm_20260524_190231,,1e-05,12,,0.001241,0.000661601,-0.000351011,47.2255,,,,
local,baseline_multi_all_stocks_20260524_153205,multi-stock,0.001,12,,0.00176846,0.000803718,-0.000836687,45.5589,,,,
local,baseline_v2_multi_all_stocks_20260616_102645,v2_multi_classification,0.001,12,,,,,,0.754525,0.224926,0.807445,0.895096
local,ga_fast_v2_multi_all_stocks_20260618_110715,fast,,,,,,,,0.605394,0.0112644,0.860963,0
local,ga_features_only_jpm_20260521_095116,features_only,,,,0.00124203,0.000666359,-0.00201717,47.2255,,,,
local,ga_features_only_jpm_20260524_174630,features_only,,,,1.25863e-06,6.77274e-07,-0.02898,45.7509,,,,
local,ga_features_only_jpm_20260524_175833,features_only,,,,0.00125072,0.000671986,-0.016085,47.109,,,,
local,ga_features_only_jpm_20260524_180038,features_only,,,,0.0012473,0.000667041,-0.0105436,47.7687,,,,
A100,attention_bilstm_attn_v2_multi_all_stocks_20260616_163730,v2_multi_classification,0.001,12,bilstm_attn_v2,,,,,0.727817,0.257635,0.797522,1.05383
A100,attention_bilstm_v2_multi_all_stocks_20260616_163501,v2_multi_classification,0.001,12,bilstm_v2,,,,,0.750656,0.22583,0.805015,-0.331361
A100,baseline_jpm_20260524_163030,,0.001,12,,0.00135522,0.000868246,-0.192976,47.0702,,,,
A100,baseline_multi_all_stocks_20260524_163112,multi-stock,0.001,12,,0.0017691,0.000807017,-0.00155342,45.5711,,,,
A100,ga_fast_v2_multi_all_stocks_20260616_170234,fast,,,,,,,,0.606751,0.0952061,0.682723,2.13925
A100,ga_features_only_jpm_20260524_163838,features_only,,,,0.00141792,0.000951628,-0.305922,46.4106,,,,
A100,ga_features_only_jpm_20260524_220605,features_only,,,,0.00124096,0.000661433,-0.000294948,46.4106,,,,
A100,ga_features_only_multi_all_stocks_20260524_220723,features_only,,,,0.00176773,0.000799225,-9.13562e-06,45.563,,,,
