folder,date,machine,group,thesis_status,thesis_location,checkpoint
attention_bilstm_attn_jpm_20260919_134457,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
attention_bilstm_attn_jpm_20260919_134955,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
attention_bilstm_attn_jpm_20260919_135501,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
attention_bilstm_attn_v2_multi_all_stocks_20260616_163730,2026-06-16,A100 (Colab),C. V2 early (complete),mentioned only,"Sect. 6.5, 7.3 (numbers 0.68-0.86, 2.1)",
attention_bilstm_jpm_20260919_134356,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
attention_bilstm_jpm_20260919_134901,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
attention_bilstm_jpm_20260919_135353,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
attention_bilstm_v2_multi_all_stocks_20260616_163501,2026-06-16,A100 (Colab),C. V2 early (complete),mentioned only,"Sect. 6.5, 7.3 (numbers 0.68-0.86, 2.1)",
baseline_jpm_20260521_094956,2026-05-21,local,B. V1 regression (complete),used (V1-1),"Tab. 7.1, Fig. 7.1",
baseline_jpm_20260524_163030,2026-05-24,A100 (Colab),B. V1 regression (complete),used (V1-14),"Tab. 7.1, Fig. 7.1",
baseline_jpm_20260524_171137,2026-05-24,local,E. unfinished,not mentioned,-,
baseline_jpm_20260524_171334,2026-05-24,local,E. unfinished,not mentioned,-,
baseline_jpm_20260524_171523,2026-05-24,local,B. V1 regression (complete),used (V1-2),"Tab. 7.1, Fig. 7.1",
baseline_jpm_20260524_172718,2026-05-24,local,B. V1 regression (complete),used (V1-3),"Tab. 7.1, Fig. 7.1",
baseline_jpm_20260524_173839,2026-05-24,local,B. V1 regression (complete),used (V1-4),"Tab. 7.1, Fig. 7.1",
baseline_jpm_20260524_183332,2026-05-24,local,B. V1 regression (complete),used (V1-5),"Tab. 7.1, Fig. 7.1",
baseline_jpm_20260524_184055,2026-05-24,local,B. V1 regression (complete),used (V1-6),"Tab. 7.1, Fig. 7.1",
baseline_jpm_20260524_184722,2026-05-24,local,B. V1 regression (complete),used (V1-7),"Tab. 7.1, Fig. 7.1",
baseline_jpm_20260524_190231,2026-05-24,local,B. V1 regression (complete),used (V1-8),"Tab. 7.1, Fig. 7.1",
baseline_multi_all_stocks_20260524_153205,2026-05-24,local,B. V1 regression (complete),used (V1-9),"Tab. 7.1, Fig. 7.1",
baseline_multi_all_stocks_20260524_154314,2026-05-24,local,E. unfinished,not mentioned,-,
baseline_multi_all_stocks_20260524_155131,2026-05-24,local,E. unfinished,not mentioned,-,
baseline_multi_all_stocks_20260524_163112,2026-05-24,A100 (Colab),B. V1 regression (complete),used (V1-15),"Tab. 7.1, Fig. 7.1",
baseline_multi_all_stocks_20260524_170717,2026-05-24,local,E. unfinished,not mentioned,-,
baseline_v2_multi_all_stocks_20260616_102645,2026-06-16,local,C. V2 early (complete),mentioned only,"Sect. 6.5, 7.3 (numbers 0.68-0.86, 2.1)",
ga_fast_v2_multi_all_stocks_20260616_170234,2026-06-16,A100 (Colab),C. V2 early (complete),mentioned only,"Sect. 6.5, 7.3 (numbers 0.68-0.86, 2.1)",
ga_fast_v2_multi_all_stocks_20260618_110715,2026-06-18,local,C. V2 early (complete),mentioned only,"Sect. 6.5, 7.3 (numbers 0.68-0.86, 2.1)",
ga_fast_v2_multi_all_stocks_20260618_112341,2026-06-18,local,E. unfinished,not mentioned,-,
ga_fast_v2_multi_all_stocks_20260618_112427,2026-06-18,local,E. unfinished,not mentioned,-,
ga_features_only_jpm_20260521_095116,2026-05-21,local,B. V1 regression (complete),used (V1-10),"Tab. 7.1, Fig. 7.1",
ga_features_only_jpm_20260524_163838,2026-05-24,A100 (Colab),B. V1 regression (complete),used (V1-16),"Tab. 7.1, Fig. 7.1",
ga_features_only_jpm_20260524_174630,2026-05-24,local,B. V1 regression (complete),used (V1-11),"Tab. 7.1, Fig. 7.1",
ga_features_only_jpm_20260524_175833,2026-05-24,local,B. V1 regression (complete),used (V1-12),"Tab. 7.1, Fig. 7.1",
ga_features_only_jpm_20260524_180038,2026-05-24,local,B. V1 regression (complete),used (V1-13),"Tab. 7.1, Fig. 7.1",
ga_features_only_jpm_20260524_220605,2026-05-24,A100 (Colab),B. V1 regression (complete),used (V1-17),"Tab. 7.1, Fig. 7.1",
ga_features_only_multi_all_stocks_20260524_220723,2026-05-24,A100 (Colab),B. V1 regression (complete),used (V1-18),"Tab. 7.1, Fig. 7.1",
ga_full_v2_multi_15min_all_stocks_20260620_141559,2026-06-20,A100 (Colab),D. V2 full GA (complete),used (R15),Tab. 6.3; Sect. 7.2-7.10,GA_15_RUN_1
ga_full_v2_multi_30min_all_stocks_20260621_125311,2026-06-21,A100 (Colab),D. V2 full GA (complete),used (R30-1),Tab. 6.3; Sect. 7.2-7.10,GA_RUN_2
ga_full_v2_multi_30min_all_stocks_20260621_215451,2026-06-21,A100 (Colab),D. V2 full GA (complete),used (R30-2),Tab. 6.3; Sect. 7.2-7.10,GA_RUN_3
ga_full_v2_multi_30min_all_stocks_20260622_124903,2026-06-22,A100 (Colab),D. V2 full GA (complete),used (R30-3),Tab. 6.3; Sect. 7.2-7.10,GA_RUN_4
ga_full_v2_multi_30min_all_stocks_20260622_233819,2026-06-22,A100 (Colab),D. V2 full GA (complete),used (R30-4),Tab. 6.3; Sect. 7.2-7.10,GA_RUN_5
ga_full_v2_multi_30min_all_stocks_20260623_111437,2026-06-23,A100 (Colab),D. V2 full GA (complete),used (R30-5),Tab. 6.3; Sect. 7.2-7.10,GA_RUN_6
ga_full_v2_multi_30min_all_stocks_20260623_205128,2026-06-23,A100 (Colab),E. unfinished,not mentioned,-,
ga_full_v2_multi_30min_all_stocks_20260623_210817,2026-06-23,A100 (Colab),D. V2 full GA (complete),used (R30-6),Tab. 6.3; Sect. 7.2-7.10,(root) ga_full_v2_multi_30min_checkpoint.pkl
ga_full_v2_multi_all_stocks_20260616_171052,2026-06-16,A100 (Colab),E. unfinished,not mentioned,-,
ga_full_v2_multi_all_stocks_20260618_095350,2026-06-18,A100 (Colab),D. V2 full GA (complete),used (R30-0),Tab. 6.3; Sect. 7.2-7.10,GA_RUN_1
time_horizon_t1_jpm_20260919_134558,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
time_horizon_t1_jpm_20260919_135058,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
time_horizon_t1_jpm_20260919_135619,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
time_horizon_t2_jpm_20260919_134702,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
time_horizon_t2_jpm_20260919_135151,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
time_horizon_t2_jpm_20260919_135713,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
time_horizon_t3_jpm_20260919_134800,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
time_horizon_t3_jpm_20260919_135256,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
time_horizon_t3_jpm_20260919_135812,2026-09-19,cloud CPU,"A. seeded V1 repeats (CPU, cloud session)",used,"Sect. 7.1, Tab. 7.2, Fig. 7.2",
